"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"70","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"Bat","NN","bat"
"71","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"um","APPR","um"
"72","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"Liebe","NN","liebe"
"73","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,".","$.","--"
"74","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"Mörders","ADV","mörder"
"75","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"Stahl","NN","stahl"
"76","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"gab","VVFIN","geben"
"77","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"die","ART","der"
"78","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"Antwort","NN","antwort"
"79","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,"ihm","PPER","ihm"
"80","r0px.0",25616,1378,1534,"CHOR DER MÄDCHEN",23,".","$.","--"
"81","r0px.0",25616,1540,1569,"CHOR DER JÜNGLINGE",29,"","",""
"82","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Nun","ADV","nun"
"83","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"im","APPRART","in"
"84","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Sarge","NN","sarg"
"85","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,",","$,","--"
"86","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Ausgelitten","NN","ausgelitt"
"87","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,",","$,","--"
"88","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Faltet","VVFIN","falten"
"89","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"blutige","ADJA","blutig"
"90","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Händlein","NN","händlein"
"91","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"er","PPER","er"
"92","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,",","$,","--"
"93","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Gnade","NN","gnade"
"94","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"betend","ADJD","betend"
"95","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Seinem","PPOSAT","sein"
"96","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Feinde","NN","feind"
"97","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,".","$.","--"
"98","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Trotzig","NE","trotzig"
"99","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"stehet","VVFIN","stehen"
"100","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"der","ART","der"
"101","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"Feind","NN","feind"
"102","r0px.0",25616,1574,1721,"CHOR DER MÄDCHEN",23,"und","KON","und"
