"","drama","length","begin","end","Speaker.figure_surface","Speaker.figure_id","Token.surface","Token.pos","Token.lemma"
"1","vndf.0",28542,1083,1157,"Simson",12,"Auf","APPR","auf"
"2","vndf.0",28542,1083,1157,"Simson",12,"mein","PPOSAT","mein"
"3","vndf.0",28542,1083,1157,"Simson",12,"Wort","NN","wort"
"4","vndf.0",28542,1083,1157,"Simson",12,",","$,","--"
"5","vndf.0",28542,1083,1157,"Simson",12,"Gregorio","NE","gregorio"
"6","vndf.0",28542,1083,1157,"Simson",12,",","$,","--"
"7","vndf.0",28542,1083,1157,"Simson",12,"wir","PPER","wir"
"8","vndf.0",28542,1083,1157,"Simson",12,"wollen","VMFIN","wollen"
"9","vndf.0",28542,1083,1157,"Simson",12,"nichts","PIS","nichts"
"10","vndf.0",28542,1083,1157,"Simson",12,"in","APPR","in"
"11","vndf.0",28542,1083,1157,"Simson",12,"die","ART","der"
"12","vndf.0",28542,1083,1157,"Simson",12,"Tasche","NN","tasche"
"13","vndf.0",28542,1083,1157,"Simson",12,"stecken","VVINF","stecken"
"14","vndf.0",28542,1083,1157,"Simson",12,".","$.","--"
"15","vndf.0",28542,1162,1220,"Gregorio",13,"Freilich","ADV","freilich"
"16","vndf.0",28542,1162,1220,"Gregorio",13,"nicht","PTKNEG","nicht"
"17","vndf.0",28542,1162,1220,"Gregorio",13,",","$,","--"
"18","vndf.0",28542,1162,1220,"Gregorio",13,"sonst","ADV","sonst"
"19","vndf.0",28542,1162,1220,"Gregorio",13,"wären","VAFIN","sein"
"20","vndf.0",28542,1162,1220,"Gregorio",13,"wir","PPER","wir"
"21","vndf.0",28542,1162,1220,"Gregorio",13,"Taschenspieler","NN","taschenspieler"
"22","vndf.0",28542,1162,1220,"Gregorio",13,".","$.","--"
"23","vndf.0",28542,1225,1294,"Simson",12,"Ich","PPER","ich"
"24","vndf.0",28542,1225,1294,"Simson",12,"meine","VVFIN","meinen"
"25","vndf.0",28542,1225,1294,"Simson",12,",","$,","--"
"26","vndf.0",28542,1225,1294,"Simson",12,"ich","PPER","ich"
"27","vndf.0",28542,1225,1294,"Simson",12,"werde","VAFIN","werden"
"28","vndf.0",28542,1225,1294,"Simson",12,"den","ART","der"
"29","vndf.0",28542,1225,1294,"Simson",12,"Koller","NE","koller"
"30","vndf.0",28542,1225,1294,"Simson",12,"kriegen","VVFIN","kriegen"
"31","vndf.0",28542,1225,1294,"Simson",12,"und","KON","und"
"32","vndf.0",28542,1225,1294,"Simson",12,"vom","APPRART","von"
"33","vndf.0",28542,1225,1294,"Simson",12,"Leder","NN","leder"
"34","vndf.0",28542,1225,1294,"Simson",12,"ziehn","CARD","ziehn"
"35","vndf.0",28542,1225,1294,"Simson",12,".","$.","--"
"36","vndf.0",28542,1299,1379,"Gregorio",13,"Ne","NN","ne"
"37","vndf.0",28542,1299,1379,"Gregorio",13,",","$,","--"
"38","vndf.0",28542,1299,1379,"Gregorio",13,"Freund","NN","freund"
"39","vndf.0",28542,1299,1379,"Gregorio",13,"!","$.","--"
"40","vndf.0",28542,1299,1379,"Gregorio",13,"deinen","PROAV","dein"
"41","vndf.0",28542,1299,1379,"Gregorio",13,"ledernen","VVFIN","ledern"
"42","vndf.0",28542,1299,1379,"Gregorio",13,"Koller","NE","koller"
"43","vndf.0",28542,1299,1379,"Gregorio",13,"mußt","VMFIN","mussen"
"44","vndf.0",28542,1299,1379,"Gregorio",13,"du","PPER","du"
"45","vndf.0",28542,1299,1379,"Gregorio",13,"bei","APPR","bei"
"46","vndf.0",28542,1299,1379,"Gregorio",13,"Leibe","NE","leib"
"47","vndf.0",28542,1299,1379,"Gregorio",13,"nicht","PTKNEG","nicht"
"48","vndf.0",28542,1299,1379,"Gregorio",13,"ausziehen","VVINF","ausziehen"
"49","vndf.0",28542,1299,1379,"Gregorio",13,".","$.","--"
"50","vndf.0",28542,1384,1444,"Simson",12,"Ich","PPER","ich"
"51","vndf.0",28542,1384,1444,"Simson",12,"schlage","VVFIN","schlagen"
"52","vndf.0",28542,1384,1444,"Simson",12,"geschwind","ADJD","geschwind"
"53","vndf.0",28542,1384,1444,"Simson",12,"zu","PTKVZ","zu"
"54","vndf.0",28542,1384,1444,"Simson",12,",","$,","--"
"55","vndf.0",28542,1384,1444,"Simson",12,"wenn","KOUS","wenn"
"56","vndf.0",28542,1384,1444,"Simson",12,"ich","PPER","ich"
"57","vndf.0",28542,1384,1444,"Simson",12,"aufgebracht","VVPP","aufbringen"
"58","vndf.0",28542,1384,1444,"Simson",12,"bin","VAFIN","sein"
"59","vndf.0",28542,1384,1444,"Simson",12,".","$.","--"
"60","vndf.0",28542,1449,1502,"Gregorio",13,"Aber","KON","aber"
"61","vndf.0",28542,1449,1502,"Gregorio",13,"du","PPER","du"
"62","vndf.0",28542,1449,1502,"Gregorio",13,"wirst","VAFIN","werden"
"63","vndf.0",28542,1449,1502,"Gregorio",13,"nicht","PTKNEG","nicht"
"64","vndf.0",28542,1449,1502,"Gregorio",13,"geschwind","ADJD","geschwind"
"65","vndf.0",28542,1449,1502,"Gregorio",13,"aufgebracht","VVPP","aufbringen"
"66","vndf.0",28542,1449,1502,"Gregorio",13,".","$.","--"
"67","vndf.0",28542,1507,1567,"Simson",12,"Ein","ART","ein"
"68","vndf.0",28542,1507,1567,"Simson",12,"Hund","NN","hund"
"69","vndf.0",28542,1507,1567,"Simson",12,"aus","APPR","aus"
"70","vndf.0",28542,1507,1567,"Simson",12,"Montagues","NE","montague"
"71","vndf.0",28542,1507,1567,"Simson",12,"Hause","NN","haus"
"72","vndf.0",28542,1507,1567,"Simson",12,"bringt","VVFIN","bringen"
"73","vndf.0",28542,1507,1567,"Simson",12,"mich","PPER","mich"
"74","vndf.0",28542,1507,1567,"Simson",12,"schon","ADV","schon"
"75","vndf.0",28542,1507,1567,"Simson",12,"auf","PTKVZ","auf"
"76","vndf.0",28542,1507,1567,"Simson",12,".","$.","--"
"77","vndf.0",28542,1572,1732,"Gregorio",13,"Einen","ART","ein"
"78","vndf.0",28542,1572,1732,"Gregorio",13,"aufbringen","VVINF","aufbringen"
"79","vndf.0",28542,1572,1732,"Gregorio",13,",","$,","--"
"80","vndf.0",28542,1572,1732,"Gregorio",13,"heißt","VVFIN","heißen"
"81","vndf.0",28542,1572,1732,"Gregorio",13,":","$.","--"
"82","vndf.0",28542,1572,1732,"Gregorio",13,"ihn","PPER","ihn"
"83","vndf.0",28542,1572,1732,"Gregorio",13,"von","APPR","von"
"84","vndf.0",28542,1572,1732,"Gregorio",13,"der","ART","der"
"85","vndf.0",28542,1572,1732,"Gregorio",13,"Stelle","NN","stelle"
"86","vndf.0",28542,1572,1732,"Gregorio",13,"schaffen","VVINF","schaffen"
"87","vndf.0",28542,1572,1732,"Gregorio",13,".","$.","--"
"88","vndf.0",28542,1572,1732,"Gregorio",13,"Um","KOUI","um"
"89","vndf.0",28542,1572,1732,"Gregorio",13,"tapfer","ADJD","tapfer"
"90","vndf.0",28542,1572,1732,"Gregorio",13,"zu","PTKZU","zu"
"91","vndf.0",28542,1572,1732,"Gregorio",13,"sein","VAINF","sein"
"92","vndf.0",28542,1572,1732,"Gregorio",13,",","$,","--"
"93","vndf.0",28542,1572,1732,"Gregorio",13,"muß","VMFIN","müssen"
"94","vndf.0",28542,1572,1732,"Gregorio",13,"man","PIS","man"
"95","vndf.0",28542,1572,1732,"Gregorio",13,"stand","VVFIN","stehen"
"96","vndf.0",28542,1572,1732,"Gregorio",13,"halten","VVINF","halten"
"97","vndf.0",28542,1572,1732,"Gregorio",13,".","$.","--"
"98","vndf.0",28542,1572,1732,"Gregorio",13,"Wenn","KOUS","wenn"
"99","vndf.0",28542,1572,1732,"Gregorio",13,"du","PPER","du"
"100","vndf.0",28542,1572,1732,"Gregorio",13,"dich","PRF","dich"
"101","vndf.0",28542,1572,1732,"Gregorio",13,"also","ADV","also"
"102","vndf.0",28542,1572,1732,"Gregorio",13,"aufbringen","VVINF","aufbringen"
"103","vndf.0",28542,1572,1732,"Gregorio",13,"läßt","VVFIN","lassen"
"104","vndf.0",28542,1572,1732,"Gregorio",13,",","$,","--"
"105","vndf.0",28542,1572,1732,"Gregorio",13,"so","ADV","so"
"106","vndf.0",28542,1572,1732,"Gregorio",13,"läufst","VVFIN","läufen"
"107","vndf.0",28542,1572,1732,"Gregorio",13,"du","PPER","du"
"108","vndf.0",28542,1572,1732,"Gregorio",13,"davon","PROAV","davon"
"109","vndf.0",28542,1572,1732,"Gregorio",13,".","$.","--"
"110","vndf.0",28542,1737,1868,"Simson",12,"Ein","ART","ein"
"111","vndf.0",28542,1737,1868,"Simson",12,"Hund","NN","hund"
"112","vndf.0",28542,1737,1868,"Simson",12,"aus","APPR","aus"
"113","vndf.0",28542,1737,1868,"Simson",12,"dem","ART","der"
"114","vndf.0",28542,1737,1868,"Simson",12,"Hause","NN","haus"
"115","vndf.0",28542,1737,1868,"Simson",12,"bringt","VVFIN","bringen"
"116","vndf.0",28542,1737,1868,"Simson",12,"mich","PPER","mich"
"117","vndf.0",28542,1737,1868,"Simson",12,"zum","APPRART","zu"
"118","vndf.0",28542,1737,1868,"Simson",12,"Standhalten","NN","standhalten"
"119","vndf.0",28542,1737,1868,"Simson",12,".","$.","--"
"120","vndf.0",28542,1737,1868,"Simson",12,"Mit","APPR","mit"
"121","vndf.0",28542,1737,1868,"Simson",12,"jedem","PIDAT","jeder"
"122","vndf.0",28542,1737,1868,"Simson",12,"Bedienten","NN","bedient"
"123","vndf.0",28542,1737,1868,"Simson",12,"und","KON","und"
"124","vndf.0",28542,1737,1868,"Simson",12,"jedem","PIDAT","jeder"
"125","vndf.0",28542,1737,1868,"Simson",12,"Mädchen","NN","mädchen"
"126","vndf.0",28542,1737,1868,"Simson",12,"Montagues","NE","montagues"
"127","vndf.0",28542,1737,1868,"Simson",12,"will","VMFIN","wollen"
"128","vndf.0",28542,1737,1868,"Simson",12,"ich","PPER","ich"
"129","vndf.0",28542,1737,1868,"Simson",12,"es","PPER","es"
"130","vndf.0",28542,1737,1868,"Simson",12,"aufnehmen","VVINF","aufnehmen"
"131","vndf.0",28542,1737,1868,"Simson",12,".","$.","--"
"132","vndf.0",28542,1873,2051,"Gregorio",13,"Der","ART","der"
"133","vndf.0",28542,1873,2051,"Gregorio",13,"Streit","NN","streit"
"134","vndf.0",28542,1873,2051,"Gregorio",13,"ist","VAFIN","sein"
"135","vndf.0",28542,1873,2051,"Gregorio",13,"nur","ADV","nur"
"136","vndf.0",28542,1873,2051,"Gregorio",13,"zwischen","APPR","zwischen"
"137","vndf.0",28542,1873,2051,"Gregorio",13,"unseren","PPOSAT","unser"
"138","vndf.0",28542,1873,2051,"Gregorio",13,"Herrschaften","NN","herrschaft"
"139","vndf.0",28542,1873,2051,"Gregorio",13,"und","KON","und"
"140","vndf.0",28542,1873,2051,"Gregorio",13,"uns","PPER","uns"
"141","vndf.0",28542,1873,2051,"Gregorio",13,",","$,","--"
"142","vndf.0",28542,1873,2051,"Gregorio",13,"ihren","PPOSAT","ihr"
"143","vndf.0",28542,1873,2051,"Gregorio",13,"Bedienten","NN","bedient"
"144","vndf.0",28542,1873,2051,"Gregorio",13,".","$.","--"
"145","vndf.0",28542,1873,2051,"Gregorio",13,"Es","PPER","es"
"146","vndf.0",28542,1873,2051,"Gregorio",13,"mit","APPR","mit"
"147","vndf.0",28542,1873,2051,"Gregorio",13,"den","ART","der"
"148","vndf.0",28542,1873,2051,"Gregorio",13,"Mädchen","NN","mädchen"
"149","vndf.0",28542,1873,2051,"Gregorio",13,"aufnehmen","VVINF","aufnehmen"
"150","vndf.0",28542,1873,2051,"Gregorio",13,"?","$.","--"
"151","vndf.0",28542,1873,2051,"Gregorio",13,"Pfui","NE","pfui"
"152","vndf.0",28542,1873,2051,"Gregorio",13,"doch","ADV","doch"
"153","vndf.0",28542,1873,2051,"Gregorio",13,"!","$.","--"
"154","vndf.0",28542,1873,2051,"Gregorio",13,"Du","PPER","du"
"155","vndf.0",28542,1873,2051,"Gregorio",13,"solltest","VVFIN","sollen"
"156","vndf.0",28542,1873,2051,"Gregorio",13,"dich","PPER","dich"
"157","vndf.0",28542,1873,2051,"Gregorio",13,"lieber","ADV","lieber"
"158","vndf.0",28542,1873,2051,"Gregorio",13,"von","APPR","von"
"159","vndf.0",28542,1873,2051,"Gregorio",13,"ihnen","PPER","ihnen"
