drama,length,begin,end,Speaker/figure_surface,Speaker/figure_id,Token/surface,Token/pos,Token/lemma
rksp.0,25365,1189,1532,DER PRINZ,10,soll,VMFIN,sollen
rksp.0,25365,1189,1532,DER PRINZ,10,mich,PPER,mich
rksp.0,25365,1189,1532,DER PRINZ,10,begleiten,VVINF,begleiten
rksp.0,25365,1189,1532,DER PRINZ,10,.,$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,Laßt,VVFIN,lassen
rksp.0,25365,1189,1532,DER PRINZ,10,ihn,PPER,ihn
rksp.0,25365,1189,1532,DER PRINZ,10,rufen,VVFIN,rufen
rksp.0,25365,1189,1532,DER PRINZ,10,.,$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,Der,ART,der
rksp.0,25365,1189,1532,DER PRINZ,10,Kammerdiener,NN,kammerdiener
rksp.0,25365,1189,1532,DER PRINZ,10,geht,VVFIN,gehen
rksp.0,25365,1189,1532,DER PRINZ,10,ab,PTKVZ,ab
rksp.0,25365,1189,1532,DER PRINZ,10,.,$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,–,XY,–
rksp.0,25365,1189,1532,DER PRINZ,10,Ich,PPER,ich
rksp.0,25365,1189,1532,DER PRINZ,10,kann,VMFIN,können
rksp.0,25365,1189,1532,DER PRINZ,10,doch,ADV,doch
rksp.0,25365,1189,1532,DER PRINZ,10,nicht,PTKNEG,nicht
rksp.0,25365,1189,1532,DER PRINZ,10,mehr,ADV,mehr
rksp.0,25365,1189,1532,DER PRINZ,10,arbeiten,VVINF,arbeiten
rksp.0,25365,1189,1532,DER PRINZ,10,.,$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,–,XY,–
rksp.0,25365,1189,1532,DER PRINZ,10,Ich,PPER,ich
rksp.0,25365,1189,1532,DER PRINZ,10,war,VAFIN,sein
rksp.0,25365,1189,1532,DER PRINZ,10,so,ADV,so
rksp.0,25365,1189,1532,DER PRINZ,10,ruhig,ADJD,ruhig
rksp.0,25365,1189,1532,DER PRINZ,10,",","$,",--
rksp.0,25365,1189,1532,DER PRINZ,10,bild,FM,bild
rksp.0,25365,1189,1532,DER PRINZ,10,',$[,--
rksp.0,25365,1189,1532,DER PRINZ,10,ich,PPER,ich
rksp.0,25365,1189,1532,DER PRINZ,10,mir,PPER,sich
rksp.0,25365,1189,1532,DER PRINZ,10,ein,PTKVZ,ein
rksp.0,25365,1189,1532,DER PRINZ,10,",","$,",--
rksp.0,25365,1189,1532,DER PRINZ,10,so,ADV,so
rksp.0,25365,1189,1532,DER PRINZ,10,ruhig,ADJD,ruhig
rksp.0,25365,1189,1532,DER PRINZ,10,–,XY,–
rksp.0,25365,1189,1532,DER PRINZ,10,Auf,APPR,auf
rksp.0,25365,1189,1532,DER PRINZ,10,einmal,ADV,einmal
rksp.0,25365,1189,1532,DER PRINZ,10,muß,VMFIN,müssen
rksp.0,25365,1189,1532,DER PRINZ,10,eine,ART,ein
rksp.0,25365,1189,1532,DER PRINZ,10,arme,ADJA,arm
rksp.0,25365,1189,1532,DER PRINZ,10,Bruneschi,NN,bruneschi
rksp.0,25365,1189,1532,DER PRINZ,10,",","$,",--
rksp.0,25365,1189,1532,DER PRINZ,10,Emilia,NE,emilia
rksp.0,25365,1189,1532,DER PRINZ,10,heißen,VVFIN,heißen
rksp.0,25365,1189,1532,DER PRINZ,10,;,$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,–,XY,–
rksp.0,25365,1189,1532,DER PRINZ,10,weg,PTKVZ,weg
rksp.0,25365,1189,1532,DER PRINZ,10,ist,VAFIN,sein
rksp.0,25365,1189,1532,DER PRINZ,10,meine,PPOSAT,mein
rksp.0,25365,1189,1532,DER PRINZ,10,Ruhe,NN,ruhe
rksp.0,25365,1189,1532,DER PRINZ,10,",","$,",--
rksp.0,25365,1189,1532,DER PRINZ,10,und,KON,und
rksp.0,25365,1189,1532,DER PRINZ,10,alles,PIS,alle
rksp.0,25365,1189,1532,DER PRINZ,10,"!",$.,--
rksp.0,25365,1189,1532,DER PRINZ,10,–,XY,–
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Nach,APPR,nach
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,dem,ART,der
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Marchese,NN,marchese
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,ist,VAFIN,sein
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,geschickt,ADJD,schicken
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,.,$.,--
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Und,KON,und
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,hier,ADV,hier
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,",","$,",--
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,ein,ART,ein
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Brief,NN,brief
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,von,APPR,von
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,der,ART,der
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Gräfin,NN,gräfin
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,Orsina,NE,orsina
rksp.0,25365,1537,1661,DER KAMMERDIENER,14,.,$.,--
rksp.0,25365,1666,1703,DER PRINZ,10,Der,ART,der
rksp.0,25365,1666,1703,DER PRINZ,10,Orsina,NE,orsina
rksp.0,25365,1666,1703,DER PRINZ,10,?,$.,--
rksp.0,25365,1666,1703,DER PRINZ,10,Legt,VVFIN,legen
rksp.0,25365,1666,1703,DER PRINZ,10,ihn,PPER,ihn
rksp.0,25365,1666,1703,DER PRINZ,10,hin,PTKVZ,hin
rksp.0,25365,1666,1703,DER PRINZ,10,.,$.,--
rksp.0,25365,1708,1745,DER KAMMERDIENER,14,Ihr,PPOSAT,ihr
rksp.0,25365,1708,1745,DER KAMMERDIENER,14,Läufer,NN,läufer
rksp.0,25365,1708,1745,DER KAMMERDIENER,14,wartet,VVFIN,warten
rksp.0,25365,1708,1745,DER KAMMERDIENER,14,.,$.,--
rksp.0,25365,1750,1862,DER PRINZ,10,Ich,PPER,ich
rksp.0,25365,1750,1862,DER PRINZ,10,will,VMFIN,wollen
rksp.0,25365,1750,1862,DER PRINZ,10,die,ART,der
rksp.0,25365,1750,1862,DER PRINZ,10,Antwort,NN,antwort
rksp.0,25365,1750,1862,DER PRINZ,10,senden,ADJA,senden
rksp.0,25365,1750,1862,DER PRINZ,10,;,$.,--
